,id,Country,Population,Confirmed,Death,Recovered
225,226,Saint Barthelemy,7406,1.0,0.0,0.0
224,225,"Saint Helena, Ascension, and Tristan da Cunha",7670,0.0,0.0,0.0
206,207,Saint Kitts and Nevis,49898,0.0,0.0,0.0
186,187,Saint Lucia,160922,0.0,0.0,0.0
212,213,Saint Martin,30235,2.0,0.0,0.0
226,227,Saint Pierre and Miquelon,6010,0.0,0.0,0.0
192,193,Saint Vincent and the Grenadines,104217,0.0,0.0,0.0
184,185,Samoa,192001,0.0,0.0,0.0
210,211,San Marino,31477,62.0,2.0,0.0
185,186,Sao Tome and Principe,175808,0.0,0.0,0.0
40,SAU,Saudi Arabia,29207277,20.0,0.0,1.0
66,SEN,Senegal,14086103,4.0,0.0,1.0
96,SRB,Serbia,7344847,5.0,0.0,0.0
195,196,Seychelles,88340,0.0,0.0,0.0
112,SLE,Sierra Leone,5245695,0.0,0.0,0.0
116,SGP,Singapore,4701069,166.0,0.0,93.0
110,SVK,Slovakia,5470306,7.0,0.0,0.0
144,SVN,Slovenia,2003136,34.0,0.0,0.0
166,SLB,Solomon Islands,609794,0.0,0.0,0.0
81,SOM,Somalia,10112453,0.0,0.0,0.0
240,ABV,Somaliland,3500000,0.0,0.0,0.0
24,ZAF,South Africa,49109107,7.0,0.0,0.0
239,SDS,South Sudan,12152321,0.0,0.0,0.0
31,ESP,Spain,40548753,1695.0,36.0,135.0
54,LKA,Sri Lanka,21513990,2.0,0.0,1.0
28,SDN,Sudan,41980182,0.0,0.0,0.0
171,SUR,Suriname,486618,0.0,0.0,0.0
230,231,Svalbard,2067,0.0,0.0,0.0
151,SWZ,Swaziland,1354051,0.0,0.0,0.0
88,SWE,Sweden,9074055,355.0,0.0,1.0
93,CHE,Switzerland,7623438,497.0,3.0,3.0
50,SYR,Syria,22198110,0.0,0.0,0.0
48,TWN,Taiwan,23024956,48.0,1.0,17.0
94,TJK,Tajikistan,7487489,0.0,0.0,0.0
29,TZA,Tanzania,41892895,0.0,0.0,0.0
19,THA,Thailand,66404688,59.0,1.0,34.0
155,TLS,Timor-Leste,1154625,0.0,0.0,0.0
103,TGO,Togo,6199841,1.0,0.0,0.0
232,233,Tokelau,1400,0.0,0.0,0.0
187,188,Tonga,122580,0.0,0.0,0.0
154,TTO,Trinidad and Tobago,1228691,0.0,0.0,0.0
76,TUN,Tunisia,10589025,6.0,0.0,0.0
16,TUR,Turkey,77804122,1.0,0.0,0.0
114,TKM,Turkmenistan,4940916,0.0,0.0,0.0
215,216,Turks and Caicos Islands,23528,0.0,0.0,0.0
223,224,Tuvalu,10472,0.0,0.0,0.0
36,UGA,Uganda,33398682,0.0,0.0,0.0
26,UKR,Ukraine,45415596,1.0,0.0,0.0
113,ARE,United Arab Emirates,4975593,74.0,0.0,12.0
21,GBR,United Kingdom,61284806,383.0,6.0,18.0
2,USA,United States,310232863,1010.0,31.0,15.0
131,URY,Uruguay,3510386,0.0,0.0,0.0
43,UZB,Uzbekistan,27865738,0.0,0.0,0.0
183,VUT,Vanuatu,221552,0.0,0.0,0.0
44,VEN,Venezuela,27223228,0.0,0.0,0.0
12,VNM,Vietnam,89571130,34.0,0.0,16.0
188,189,Virgin Islands,109775,0.0,0.0,0.0
219,220,Wallis and Futuna,15343,0.0,0.0,0.0
170,ESH,Western Sahara,491519,0.0,0.0,0.0
47,YEM,Yemen,23495361,0.0,0.0,0.0
70,ZMB,Zambia,12056923,0.0,0.0,0.0
71,ZWE,Zimbabwe,11651858,0.0,0.0,0.0
